2026-06-15 22:49:37.891950 |  | 8990f3 | ALT:39000 | SPD:504
2026-06-15 22:49:37.892519 |  | 780a97 | ALT:0 | SPD:0
2026-06-15 22:49:37.892952 |  | 89907b | ALT:37000 | SPD:515
2026-06-15 22:49:37.893322 | SEJ2478 | 800d08 | ALT:15050 | SPD:258
2026-06-15 22:55:19.970697 | CAL074 | 8990f3 | ALT:39000 | SPD:501 | LAT:26.022747 | LON:84.936993
2026-06-15 22:55:19.971221 | CPA679 | 780a97 | ALT:34000 | SPD:473 | LAT:25.918331 | LON:84.223727
2026-06-15 22:55:19.971528 |  | 89907b | ALT:36975 | SPD:508 | LAT:25.937324 | LON:84.850106
2026-06-15 22:55:19.971744 | SEJ2478 | 800d08 | ALT:19500 | SPD:266 | LAT:25.905396 | LON:83.98198
2026-06-15 22:56:14.367483 | EVA072 | 8990de | ALT:35000 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-15 23:00:16.995154 |  | 800be5 | ALT:38000 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-15 23:02:19.880870 |  | 89900d | ALT:0 | SPD:523 | LAT:0.0 | LON:0.0
2026-06-15 23:21:04.771013 |  | 801685 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-15 23:26:33.887150 |  | 80165e | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-15 23:29:42.181906 |  | 801553 | ALT:0 | SPD:471 | LAT:0.0 | LON:0.0
2026-06-15 23:40:21.580294 |  | 80184e | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-15 23:41:32.429611 |  | 8014dd | ALT:33000 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-15 23:43:01.693995 |  | 801793 | ALT:35025 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-15 23:44:45.248284 |  | 4cacf1 | ALT:0 | SPD:461 | LAT:0.0 | LON:0.0
2026-06-16 00:02:40.151273 |  | 4bb182 | ALT:0 | SPD:486 | LAT:0.0 | LON:0.0
2026-06-16 00:05:37.742742 |  | 4bb0e1 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 00:12:01.413953 |  | 4ba88f | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 00:12:43.101405 |  | 683266 | ALT:0 | SPD:478 | LAT:0.0 | LON:0.0
2026-06-16 00:15:09.448963 |  | 4d239a | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 00:17:59.466235 |  | 4bb194 | ALT:37000 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 00:22:39.056672 |  | 4d0131 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 00:30:30.349665 |  | 780a2a | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 00:40:08.673950 |  | 4bb0e9 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 00:43:56.030473 |  | 8851e2 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 00:44:52.527456 |  | 8880f8 | ALT:35975 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 00:50:57.799166 |  | 4bb0f9 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 00:54:20.996449 |  | 8018b9 | ALT:35000 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 00:55:13.237903 | IRM080 | 7335a3 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 00:56:15.465463 |  | 888124 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 01:06:16.111779 |  | 4ba955 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 01:06:50.782132 |  | 4bb14a | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 01:11:30.969806 |  | 4bb1c3 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 01:19:18.009715 |  | 3c4a0c | ALT:34000 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 01:20:02.379260 |  | 88815c | ALT:35025 | SPD:0 | LAT:0.0 | LON:0.0
